Comment,Author
근데 형욱씨는 모르겠고  와이프님이 먼가 쎄한 느낌이 듭니다 인상을보니,@seeyoon9494
잇어야 함니다 뭔일 생기면 대처가 필요하죠,@user-dl4fk2ji8z
모르는게 약이라는 말자식욕하는데 눈 뒤집어지지차라리 몰랐다면 나았을텐데,@user-dj7vi3rj6j
직원들도  얼굴 공개하고  얘기해라  숨지말고,@user-zm6rk2ym5t
저는 강훈련사님 응원하고 믿습니다경영하는데 있어서 사람 대하는것만큼 힘든게 있을까요사실과 무관한 비방을 멈추지 않는다면반드시 법적 대응하시기 바랍니다,@user-ee4ww8px7p
4명중에 계약기간 꽉채우신분과 56년 일했따고 하신분의 증언이면 한방일거같은데 진흙탕싸움에 안끼어드시겠지 씁쓸하구만,@user-ix7it9du3i
강훈런사님   절대로  포기하지마세요    강훈련사님   용기내세요   응원합니다,@user-zu1eo5sr5c
강형욱 마녀사냥 당했나 했는데에폭시도 사실 메신저 감시도 사실 노동청에 임금체불 신고 5건뭐지직원들은 20분짜리 폭언내용으로 고소준비한다고하고혼란하다 진짜빨리 결과나 나와서 누구일지는 몰라도 억울한사람은 사라지길,@Ddorrrry123
이 해명 영상이 게시된 이후 또 전 직원들이 증거로 가지고 있다는 폭언녹취록이 공개되면서 다시금 여론이 바뀔거라 예상합니다 그 외 영상에서 다뤘던 를 감시 목적이 아닌 방범용 이라면 방범용 이라는 사실과 증거가 필요할 것 같습니다솔직히 모든 증거들을 공개할 수 없기도 할 뿐더러 공개해야만 하는 이유는 없을 수 있습니다하지만 훈련사의 말이 맞다면 법적 대응을 하셔서 저희가 믿을 수 있는 결과가 필요할 것 같습니다 저는 훈련사님을 믿고 싶습니다,@user-dlwk28
10년 7년전 일을 지금와서 터뜨린이유는,@cyclingvideos_southkorea
정보유통업체종사자소위언론인 이라는 사람들이 저지르는 행위들을 지금 다들 보고계십니다일방적인 주장에 최소한의 반론이나 사실확인없이 기사꺼리 팔아먹으려고 사람하나 마녀사냥하는 꼴입니다 누군가에게 이렇게나 큰 상처를 주는데 거리낌이 없는 사람들인거죠사람은 다 입장차이가 있는거고 주관적으로 현실을 인식하기 마련입니다 불만이 많으신 직원분들도 회사 대표해보시면 자기 생각대로만 안된다는걸 알게되시겠죠어쨋던 그렇다 하더라도 이런불상사에 책임지는게 대표의 의무이니  강형욱님 힘내서 잘 이겨내시길 바랍니다이또한 지나갑니다,@sipapa00
상식적으로 이걸 해명한다는게 얼마나 어이가 없을까 진짜 미친새끼들이네 ㅋㅋㅋㅋㅋㅋㅋ,@user-wl2qk6xx9p
힘내세요 미친 언론  동물복지 에 대하여 한국에서 한획 그으셨는데   보란듯이 한국서ㅈ티브에 나오면서 사세요 별것도 아니구만넘넘 힘드셨을듯   이 또한 지나가리라,@user-ct5ee1kn1b
응원합니다 기사보고 설마  이분이  진짜로  너무 놀랬었는데 천만다행입니다,@user-gp7qv9cr1b
그리고 녹취록 운운하는 사람들은 잘보셈 ㅋㅋㅋㅋㅋㅋㅋ 강형욱도 변호사 끼고있는데 그게 무료변호 자처해서 자기 얼굴팔아먹으려는 민변보다는 좋은변호사들일거임 녹취록이 진짜 존재하고 그걸 유포한다 그럼 강형욱측은 니들이 사내메신저에서 말하던 그 혐오단어 까면 그만임 ㅋㅋㅋㅋㅋ 이걸 이해를 못하냐 ㅋㅋㅋㅋㅋㅋ,@user-sf3tg6gz5c
갑자기 사건반장이 이 일을 크게 만들었다는 생각이 드는데,@user-bc9sh7wm8i
지금 어떤 변호사가 사무실에 있다고 그게 문제라고 생각해서 무료상담한다고 그러는데 나는 장애인 시설이고 단독주택이였고 사무실에서 당직서는데 사무실 한켠에 이불깔고 자는데 수치스럽지만 혹여 문제가 생길까봐라는 특수성때문에 그냥 일을했다 특수성을 띈 사무실은 가 필요하다,@TV-zw5by
힘내세요 진짜 저도 애완견 2마리 키우는 사람으로써 이건 절대 진짜 있을 수 없는 일 이라 생각합니다 너무 힘들어보여요 안됩니다 이럴수록 진짜 힘내서 이겨내길 바래요 정말 힘내세요,@user-uw4on9fd3n
파양하신분이 훈련사 ㅎㅎ 나오지마세요,@user-ze8fx4fb7i
